00000 0 982 123516127152,MQXC,
00000 0 982 123516127153,MQXC,
00000 0 982 123516127154,MQXC,
00000 0 982 123516127155,MQXC,
00000 0 982 123516127156,MQXC,
00000 0 982 123516127157,MQXC,
00000 0 982 123516127158,MQXC,
00000 0 982 123516127159,MQXC,
00000 0 982 123516127160,MQXC,
00000 0 982 123516127161,MQXC,
00000 0 982 123516127162,MQXC,
00000 0 982 123516127163,MQXC,
00000 0 982 123516127164,MQXC,
00000 0 982 123516127165,MQXC,
00000 0 982 123516127166,MQXC,
00000 0 982 123516127167,MQXC,
00000 0 982 123516127168,MQXC,
00000 0 982 123516127169,MQXC,
00000 0 982 123516127170,MQXC,
00000 0 982 123516127171,MQXC,
