00000 0 982 123516127722,FVFX,
00000 0 982 123516127723,FVFX,
00000 0 982 123516127724,FVFX,
00000 0 982 123516127725,FVFX,
00000 0 982 123516127726,FVFX,
00000 0 982 123516127727,FVFX,
00000 0 982 123516127728,FVFX,
00000 0 982 123516127729,FVFX,
00000 0 982 123516127730,FVFX,
00000 0 982 123516127731,FVFX,
00000 0 982 123516127732,FVFX,
00000 0 982 123516127733,FVFX,
00000 0 982 123516127734,FVFX,
00000 0 982 123516127735,FVFX,
00000 0 982 123516127736,FVFX,
00000 0 982 123516127737,FVFX,
00000 0 982 123516127738,FVFX,
00000 0 982 123516127739,FVFX,
00000 0 982 123516127740,FVFX,
00000 0 982 123516127741,FVFX,
00000 0 982 123516127742,FVFX,
00000 0 982 123516127743,FVFX,
00000 0 982 123516127744,FVFX,
00000 0 982 123516127745,FVFX,
00000 0 982 123516127746,FVFX,
00000 0 982 123516127747,FVFX,
00000 0 982 123516127748,FVFX,
00000 0 982 123516127749,FVFX,
00000 0 982 123516127750,FVFX,
00000 0 982 123516127751,FVFX,
00000 0 982 123516127752,FVFX,
00000 0 982 123516127753,FVFX,
00000 0 982 123516127754,FVFX,
00000 0 982 123516127755,FVFX,
00000 0 982 123516127756,FVFX,
00000 0 982 123516127757,FVFX,
00000 0 982 123516127758,FVFX,
00000 0 982 123516127759,FVFX,
00000 0 982 123516127760,FVFX,
00000 0 982 123516127761,FVFX,
